carrier_hz,column,component,theory_a,measured_demod_v,fit_gain_v_per_a,gain_normalized_measured_a,abs_error_gain_normalized_a,status
250000000,48,I,-1.398600000000e-03,-2.842204520344e-02,3.973594587003e+00,-7.152728991628e-03,5.754128991628e-03,measured_from_Icar_Qcar_nodes
250000000,48,Q,-7.992000000000e-04,2.466544398497e-04,-9.651625322975e-02,-2.555574129702e-03,1.756374129702e-03,measured_from_Icar_Qcar_nodes
250000000,49,I,4.995000000000e-04,-2.886127065312e-02,3.973594587003e+00,-7.263265041561e-03,7.762765041561e-03,measured_from_Icar_Qcar_nodes
250000000,49,Q,1.498500000000e-03,4.916184936858e-05,-9.651625322975e-02,-5.093634255731e-04,2.007863425573e-03,measured_from_Icar_Qcar_nodes
250000000,50,I,1.998000000000e-04,-2.858151050785e-02,3.973594587003e+00,-7.192860238267e-03,7.392660238267e-03,measured_from_Icar_Qcar_nodes
250000000,50,Q,-5.994000000000e-04,2.823502641134e-04,-9.651625322975e-02,-2.925416752776e-03,2.326016752776e-03,measured_from_Icar_Qcar_nodes
250000000,51,I,-9.990000000000e-05,-2.887540211191e-02,3.973594587003e+00,-7.266821382926e-03,7.166921382926e-03,measured_from_Icar_Qcar_nodes
250000000,51,Q,-6.993000000000e-04,2.387778146983e-04,-9.651625322975e-02,-2.473964816370e-03,1.774664816370e-03,measured_from_Icar_Qcar_nodes
250000000,52,I,2.997000000000e-04,-2.873760952835e-02,3.973594587003e+00,-7.232144321503e-03,7.531844321503e-03,measured_from_Icar_Qcar_nodes
250000000,52,Q,-8.991000000000e-04,2.739072660567e-04,-9.651625322975e-02,-2.837939278524e-03,1.938839278524e-03,measured_from_Icar_Qcar_nodes
250000000,53,I,-1.998000000000e-04,-2.892248295818e-02,3.973594587003e+00,-7.278669810145e-03,7.078869810145e-03,measured_from_Icar_Qcar_nodes
250000000,53,Q,5.994000000000e-04,1.242388937473e-04,-9.651625322975e-02,-1.287232871043e-03,1.886632871043e-03,measured_from_Icar_Qcar_nodes
250000000,54,I,9.990000000000e-05,-2.878293626020e-02,3.973594587003e+00,-7.243551306000e-03,7.343451306000e-03,measured_from_Icar_Qcar_nodes
250000000,54,Q,-2.997000000000e-04,2.006614267024e-04,-9.651625322975e-02,-2.079042855350e-03,1.779342855350e-03,measured_from_Icar_Qcar_nodes
250000000,55,I,-7.992000000000e-04,-2.882949172552e-02,3.973594587003e+00,-7.255267515166e-03,6.456067515166e-03,measured_from_Icar_Qcar_nodes
250000000,55,Q,3.996000000000e-04,1.201584871772e-04,-9.651625322975e-02,-1.244955985715e-03,1.644555985715e-03,measured_from_Icar_Qcar_nodes
250000000,56,I,6.993000000000e-04,-2.885457847596e-02,3.973594587003e+00,-7.261580879522e-03,7.960880879522e-03,measured_from_Icar_Qcar_nodes
250000000,56,Q,8.991000000000e-04,9.641639559125e-05,-9.651625322975e-02,-9.989653800768e-04,1.898065380077e-03,measured_from_Icar_Qcar_nodes
250000000,57,I,-6.993000000000e-04,-2.830881386756e-02,3.973594587003e+00,-7.124233045855e-03,6.424933045855e-03,measured_from_Icar_Qcar_nodes
250000000,57,Q,1.098900000000e-03,1.370251634084e-04,-9.651625322975e-02,-1.419710761899e-03,2.518610761899e-03,measured_from_Icar_Qcar_nodes
250000000,58,I,-9.990000000000e-04,-2.900396318264e-02,3.973594587003e+00,-7.299175229778e-03,6.300175229778e-03,measured_from_Icar_Qcar_nodes
250000000,58,Q,-4.065758146821e-20,1.782874530590e-04,-9.651625322975e-02,-1.847227250260e-03,1.847227250260e-03,measured_from_Icar_Qcar_nodes
250000000,59,I,1.098900000000e-03,-2.915002161182e-02,3.973594587003e+00,-7.335932484699e-03,8.434832484699e-03,measured_from_Icar_Qcar_nodes
250000000,59,Q,-1.298700000000e-03,3.023861463527e-04,-9.651625322975e-02,-3.133007511521e-03,1.834307511521e-03,measured_from_Icar_Qcar_nodes
250000000,60,I,-4.995000000000e-04,-2.861501324871e-02,3.973594587003e+00,-7.201291581759e-03,6.701791581759e-03,measured_from_Icar_Qcar_nodes
250000000,60,Q,4.995000000000e-04,1.449061730597e-04,-9.651625322975e-02,-1.501365502811e-03,2.000865502811e-03,measured_from_Icar_Qcar_nodes
250000000,61,I,-9.990000000000e-05,-2.889295325993e-02,3.973594587003e+00,-7.271238327742e-03,7.171338327742e-03,measured_from_Icar_Qcar_nodes
250000000,61,Q,1.298700000000e-03,6.678799709988e-05,-9.651625322975e-02,-6.919870474137e-04,1.990687047414e-03,measured_from_Icar_Qcar_nodes
250000000,62,I,2.997000000000e-04,-2.894579530182e-02,3.973594587003e+00,-7.284536624974e-03,7.584236624974e-03,measured_from_Icar_Qcar_nodes
250000000,62,Q,1.098900000000e-03,6.242837380895e-05,-9.651625322975e-02,-6.468172118155e-04,1.745717211816e-03,measured_from_Icar_Qcar_nodes
250000000,63,I,8.991000000000e-04,-2.909583601210e-02,3.973594587003e+00,-7.322296065951e-03,8.221396065951e-03,measured_from_Icar_Qcar_nodes
250000000,63,Q,2.997000000000e-04,1.728750671013e-04,-9.651625322975e-02,-1.791149794116e-03,2.090849794116e-03,measured_from_Icar_Qcar_nodes
250000000,64,I,-1.998000000000e-04,-2.876439613801e-02,3.973594587003e+00,-7.238885474650e-03,7.039085474650e-03,measured_from_Icar_Qcar_nodes
250000000,64,Q,-1.398600000000e-03,3.198471896514e-04,-9.651625322975e-02,-3.313920494717e-03,1.915320494717e-03,measured_from_Icar_Qcar_nodes
250000000,65,I,-2.997000000000e-04,-2.862658475369e-02,3.973594587003e+00,-7.204203681804e-03,6.904503681804e-03,measured_from_Icar_Qcar_nodes
250000000,65,Q,8.991000000000e-04,1.012877272427e-04,-9.651625322975e-02,-1.049437000021e-03,1.948537000021e-03,measured_from_Icar_Qcar_nodes
250000000,66,I,-6.993000000000e-04,-2.888789619239e-02,3.973594587003e+00,-7.269965659525e-03,6.570665659525e-03,measured_from_Icar_Qcar_nodes
250000000,66,Q,-1.898100000000e-03,3.373714307222e-04,-9.651625322975e-02,-3.495488266822e-03,1.597388266822e-03,measured_from_Icar_Qcar_nodes
250000000,67,I,-6.993000000000e-04,-2.887514033412e-02,3.973594587003e+00,-7.266755503584e-03,6.567455503584e-03,measured_from_Icar_Qcar_nodes
250000000,67,Q,-8.991000000000e-04,2.400394445474e-04,-9.651625322975e-02,-2.487036499190e-03,1.587936499190e-03,measured_from_Icar_Qcar_nodes
250000000,68,I,-3.996000000000e-04,-2.867705853028e-02,3.973594587003e+00,-7.216905978298e-03,6.817305978298e-03,measured_from_Icar_Qcar_nodes
250000000,68,Q,-7.992000000000e-04,2.434063532018e-04,-9.651625322975e-02,-2.521920868834e-03,1.722720868834e-03,measured_from_Icar_Qcar_nodes
250000000,69,I,4.995000000000e-04,-2.859100927380e-02,3.973594587003e+00,-7.195250710104e-03,7.694750710104e-03,measured_from_Icar_Qcar_nodes
250000000,69,Q,-1.498500000000e-03,3.544446113662e-04,-9.651625322975e-02,-3.672382624743e-03,2.173882624743e-03,measured_from_Icar_Qcar_nodes
250000000,70,I,4.995000000000e-04,-2.883610300235e-02,3.973594587003e+00,-7.256931317722e-03,7.756431317722e-03,measured_from_Icar_Qcar_nodes
